x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
4.7078961530898475e-6,1.893607838267067e-6,2.6946928144188093e-6,3.819152601173868e-6,5.177366139456303e-6,7.240455372477746e-6,1.0197661642750233e-5,1.434433522991808e-5,2.0261465431458302e-5,2.794565724070355e-5,3.9083541175617426e-5,5.600996908648442e-5,7.630239894963743e-5,0.00010697882169975455,0.00015109221798626117,0.00020951653788906367,0.00029423453202297796,0.00041338709293284396,0.0005740507493746697,0.0008040216736374016,0.0011250870024014374,0.0015750879921174613,0.0022092260764758217,3.5150722741371486e-6,1.5385550864516155e-5,1.191542892745195e-5,3.8729807009786025e-6,2.82964074424485e-5,5.393776035353018e-7,4.788560474911819e-6,1.631909281945323e-6,2.0006714661475808e-7,7.52085005559671e-6,4.477959069657966e-6,2.448827791306831e-5,2.877203142455113e-6,4.028084399437155e-6,1.0100255792146972e-6,3.1669730849460122e-6,4.949125338152016e-6
4.717385748208214e-6,1.9479955719624627e-6,2.893331802814203e-6,3.697029733117462e-6,5.166016759961676e-6,7.4565494275339996e-6,1.0509989841712333e-5,1.4521953649134684e-5,1.98563572534561e-5,2.77830937897148e-5,4.048303096225383e-5,5.56053955105866e-5,7.650427405037222e-5,0.00010769337168803522,0.0001500363703147212,0.00021057713456775366,0.00029286861498631264,0.0004123940762214886,0.0005836339691029345,0.0008036818613378409,0.0011251933129974548,0.0015802408349663434,0.0022053030275110356,4.4561608967572545e-6,8.511020662465684e-6,4.1544268235203535e-6,2.588359990409115e-6,4.417467198483022e-8,3.4204003392227285e-6,8.590347773368028e-6,1.631909281945323e-6,7.236698969199e-6,2.8009400526066125e-7,9.887588198549846e-6,1.1660949479087967e-5,1.1541447102572933e-6,1.0760091306093553e-6,2.2621236321042944e-6,3.1669730849460122e-6,2.3868451124655707e-5
5.120509139940989e-6,2.0707658405353065e-6,2.6357644118969355e-6,3.742961114196606e-6,5.633309050394294e-6,7.731877261389965e-6,1.0554505817006213e-5,1.4194858676450241e-5,1.9961183743359673e-5,2.8218036953715624e-5,4.000615230089735e-5,5.585739878792885e-5,7.968749104700714e-5,0.00010849029349580183,0.0001503658498776549,0.0002099583686075708,0.00029292474876214155,0.000418095476593311,0.0005740684837194057,0.0008064083610781417,0.0011286317882739847,0.0015806583853306961,0.00220696668418802,1.6536710084510825e-6,1.3205918318413856e-6,1.3380241487396236e-7,1.2227705500701906e-5,2.6225273315296623e-7,2.3576310171233646e-7,2.3194808701788106e-6,3.837168395712606e-6,1.0811466746542627e-5,7.062562998964179e-6,4.89515660487851e-7,3.6367655191657385e-6,5.091471726832035e-6,5.4184159889052974e-6,6.660411953442427e-6,6.819557464187345e-6,6.261087456788515e-6
5.083676110017667e-6,1.8838346041563149e-6,2.7170401963554333e-6,4.325334605751262e-6,5.2343206500959e-6,7.82500889186202e-6,1.02773036363542e-5,1.4186499335063658e-5,2.0552010829125464e-5,2.779059111540893e-5,3.89769706384557e-5,5.568842199839346e-5,7.623451182214679e-5,0.00011524219949926999,0.00014962668185730056,0.000211079008508549,0.000293069542229382,0.00041302073491829245,0.0005774275009714047,0.0008036144007733803,0.001125780028437565,0.0015783895574794078,0.0022051452098950323,4.968969075799097e-6,1.0703671185416684e-6,8.734075357644217e-6,2.588359990409115e-6,1.8837721181796645e-6,3.4204003392227285e-6,6.761999314210112e-7,1.5429437142905817e-6,7.489595851871913e-7,9.582596569594135e-6,8.329249627919976e-6,2.966666475251295e-5,9.581112073452063e-6,4.757437109601731e-6,1.8805233613301287e-6,3.1669730849460122e-6,6.261087456788515e-6
4.743818139309904e-6,1.8959457924199e-6,3.02709838305235e-6,3.6969268554001543e-6,6.000264661856213e-6,7.446556479580985e-6,1.0222916792460199e-5,1.4436590962327405e-5,1.991759695300242e-5,2.77833966872936e-5,3.8897161419908375e-5,5.4567758893838e-5,8.022483019483086e-5,0.00011634498191450161,0.0001498507579669253,0.00021088162157511823,0.0002928630912933342,0.00042183975240849404,0.0005799693973708848,0.0008078791558576986,0.001127028094177014,0.0015760284095080175,0.002207481940774973,1.6899719338521033e-7,3.8102656871854184e-6,1.8488285645779389e-6,1.2921603261521887e-5,6.745824109244844e-6,2.494428511452034e-6,6.84396984181659e-8,2.708042822141754e-6,1.9674016899396934e-6,7.062562998964179e-6,1.052919007783539e-5,1.2474724795230484e-5,7.685779504352542e-7,9.126949645464303e-7,1.2777729503650032e-6,1.414035810900576e-6,2.3868451124655707e-5
4.801844556174341e-6,2.210676253395268e-6,2.6376244931658374e-6,4.537319031978776e-6,5.446844486521547e-6,7.77129025836233e-6,1.0197661642750233e-5,1.4215639829877752e-5,2.007365438505366e-5,2.792968555423008e-5,3.896689625429057e-5,5.671038523794242e-5,8.551025909655924e-5,0.00010820871725563155,0.00015073157476623206,0.00021146675586624158,0.00030829292802052517,0.00041007436573828516,0.0005740978586101035,0.00081969387340822,0.0011263838532676919,0.0015764874344298902,0.00221243134640288,2.721618347989583e-6,4.757883026618209e-6,9.229716615372773e-6,1.5374418783373673e-5,2.3354240697805824e-5,2.7294445524314543e-7,6.84396984181659e-8,5.608217977881822e-6,6.469339510986514e-7,1.8779853245944726e-7,2.6291794544322607e-7,3.6367655191657385e-6,5.091471726832035e-6,3.4793660531568066e-6,1.0100255792146972e-6,9.324576734819396e-6,2.3868451124655707e-5
5.500134525262681e-6,1.8832878198052967e-6,3.203250512384021e-6,3.703367077892105e-6,5.4522963745805005e-6,7.502758053909667e-6,1.0156867305715574e-5,1.4674174830614692e-5,1.9892752721849076e-5,2.794978041265533e-5,3.8898654233097634e-5,6.004133298363614e-5,7.623859664734064e-5,0.0001087330292556912,0.0001558024040797443,0.0002314903154648155,0.00029344853131818143,0.0004192926241123749,0.000575730603216876,0.0008068363449698719,0.0011307214941611967,0.0015803081045734856,0.0022079039438731504,1.6536710084510825e-6,6.59265472526627e-6,5.52082232010176e-6,1.412110614206646e-5,5.121308022541893e-7,5.29784974372411e-6,6.84396984181659e-8,8.059367752275752e-6,6.469339510986514e-7,1.8554926118192552e-6,2.9009022024377002e-6,3.6367655191657385e-6,1.1541447102572933e-6,5.4184159889052974e-6,1.481362185086175e-5,1.414035810900576e-6,3.263601857186789e-5
5.4241933232087175e-6,2.70125043767938e-6,2.6639702493204844e-6,4.0300511461279445e-6,5.53273363425059e-6,7.264210296683364e-6,1.0289304451640067e-5,1.4248067019149882e-5,1.9850422225292088e-5,2.8529753994960415e-5,4.431192977786285e-5,5.4457040852628325e-5,7.753231089924075e-5,0.00010833665879800378,0.0001656178526569863,0.00021764299380106367,0.00029289943651590237,0.000410130020554759,0.000576450583229461,0.0008076582101151402,0.001128316334423399,0.0015822946993013208,0.0022157988587267266,1.6899719338521033e-7,1.404044157474235e-7,1.1350588473526825e-5,1.644722747848767e-7,2.0438112164292363e-6,5.29784974372411e-6,2.5738203348994818e-6,1.4290510472482714e-7,1.3920821234817917e-5,3.4965404320560805e-7,4.477959069657966e-6,8.243890787552094e-7,8.298321601946179e-6,1.228751968714145e-5,9.979284584590787e-6,1.7888821305110043e-6,1.1084405797311043e-5
6.950075086387992e-6,2.023704756088067e-6,2.8468586216098933e-6,3.783617563453925e-6,5.18010001840632e-6,7.402370652965174e-6,1.0143813798354182e-5,1.427672629985033e-5,2.145954134967981e-5,3.3710048135466e-5,3.962573952466881e-5,5.538022207088624e-5,7.649174222107796e-5,0.0001221119804525874,0.0001517363865361386,0.00021193671227149913,0.00029326829644030905,0.0004134890049637253,0.0005741325075737975,0.0008588586040427576,0.0011270712344689782,0.0015987356937934606,0.0022182454877317475,1.6920159607668464e-6,9.205464532293436e-6,5.782033676276944e-6,9.821818647485259e-6,4.566013229336024e-6,1.3428459660614177e-5,3.7414031539116016e-5,4.6209567935617935e-7,3.004333377387791e-7,7.062562998964179e-6,1.4580928503880716e-5,4.656606961971586e-7,3.3981693640012385e-6,4.757437109601731e-6,6.660411953442427e-6,1.5601748261238535e-5,9.21456447051763e-6
4.968674209123424e-6,2.028166169579109e-6,4.176967063588979e-6,3.7280496498952657e-6,5.218280651449013e-6,7.232456402709058e-6,1.0200627871292048e-5,1.4964724531946535e-5,2.3686614266048488e-5,3.211979940182858e-5,3.891846021677395e-5,5.46915256960417e-5,8.004230441743484e-5,0.00011058936847850386,0.00014954057564879082,0.00020963476117060088,0.0002928627150930216,0.0004144748414978334,0.000586339504506575,0.0008039074958837906,0.0011254237865297501,0.001578648661028609,0.0022072713378616985,1.1885707073448628e-6,2.9674477310859685e-6,1.3380241487396236e-7,2.919999125187657e-6,7.820526284328901e-8,7.591042173918058e-6,1.6537401955322804e-5,2.70289723893065e-5,8.84571367139015e-7,1.410458139552609e-6,3.9213160736492563e-7,5.489842503108958e-7,2.877203142455113e-6,4.757437109601731e-6,1.114410590088467e-5,2.108977895994337e-6,4.949125338152016e-6
