x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
-0.02504,0.003956,0.018,0.00543,-0.01852,-0.02039,-0.05185,0.03003,-0.04333,0.0368,0.03577,0.06073,-0.0617,0.0642,-0.1052,-0.1212,-0.1192,-0.1475,-0.1769,-0.1554,-0.1575,-0.1685,-0.1655,-0.1685,-0.1626,-0.1644,-0.1628,0.0855,0.0856,0.0856,0.0855,0.0856,0.08563,0.1445,0.144,0.0932,0.09326,0.11163,0.11163,0.1209
0.00374,0.01915,0.005756,-0.02058,-0.02112,-0.0524,0.0315,-0.04276,-0.02547,0.03696,0.03622,-0.0594,0.06067,-0.1049,-0.122,0.06537,-0.11957,-0.179,-0.1559,-0.1455,-0.1683,-0.1644,-0.158,-0.1625,-0.1644,-0.1682,-0.1625,0.0857,0.08575,0.0857,0.0857,0.0857,0.0857,0.1444,0.1439,0.09326,0.0933,0.11163,0.1117,0.1209
0.02028,0.006107,-0.0216,-0.0221,-0.0517,0.03093,0.005547,-0.02582,0.0357,0.03564,-0.06015,-0.04266,0.05997,-0.1051,0.06555,-0.12067,-0.12164,-0.1802,-0.1467,-0.1559,-0.1638,-0.1575,-0.1624,-0.164,-0.169,-0.163,-0.168,0.0858,0.0858,0.0859,0.08575,0.0858,0.1444,0.08594,0.1439,0.0933,0.0933,0.11163,0.1117,0.1209
0.006012,-0.02222,-0.02385,-0.05026,0.02066,0.006073,-0.02509,0.03568,0.0365,0.0324,-0.04437,-0.06158,0.06082,0.06396,-0.1054,-0.1208,-0.1212,-0.1477,-0.1793,-0.164,-0.1572,-0.1617,-0.1649,-0.169,-0.1575,-0.168,-0.1635,0.0859,0.086,0.08575,0.0859,0.1443,0.08594,0.08606,0.1438,0.0933,0.0934,0.1117,0.11176,0.1209
-0.02155,-0.02278,-0.05075,0.0221,0.00506,-0.02629,0.03537,0.03656,0.03214,0.007027,-0.045,-0.06174,0.0626,-0.1058,0.0636,-0.1223,-0.12164,-0.148,-0.1788,-0.1589,-0.1613,-0.1642,-0.1692,-0.1577,-0.1683,-0.1631,-0.1644,0.0861,0.0858,0.08606,0.1443,0.08606,0.0862,0.0863,0.1438,0.0934,0.09344,0.1117,0.11176,0.1209
-0.02429,-0.05286,0.0212,0.00587,-0.02486,0.03754,0.03592,-0.022,0.007565,-0.0458,0.03247,-0.06107,-0.10583,0.0637,0.063,-0.1212,-0.1226,-0.1482,-0.1791,-0.162,-0.1637,-0.1682,-0.1586,-0.1586,-0.1633,-0.1644,-0.1687,0.08594,0.08624,0.1442,0.08606,0.08624,0.08624,0.08636,0.1438,0.0934,0.09344,0.1117,0.11176,0.12085
-0.0532,0.02031,0.004787,-0.02396,-0.02391,0.03702,-0.0223,0.00859,-0.04373,0.03406,0.0356,-0.06137,0.0624,0.0634,-0.1212,-0.10565,-0.1227,-0.1466,-0.1792,-0.1653,-0.1674,-0.1593,-0.1578,-0.1635,-0.1626,-0.1683,-0.164,0.08624,0.0863,0.0861,0.0864,0.0864,0.0865,0.1438,0.1438,0.09344,0.0935,0.11176,0.11176,0.12085
0.01959,0.00545,-0.02597,-0.02438,0.0377,-0.01999,0.007572,-0.0444,0.0346,0.03473,-0.06165,-0.0534,0.0625,0.0629,-0.10583,-0.12115,-0.1214,-0.179,-0.1472,-0.1671,-0.1594,-0.1589,-0.1635,-0.1627,-0.1681,-0.1638,-0.1656,0.0865,0.0863,0.0864,0.0865,0.0865,0.1438,0.08655,0.1437,0.09344,0.0935,0.11176,0.1118,0.12085
0.00468,-0.02353,-0.0247,0.03754,-0.02109,0.006454,-0.0445,0.01924,0.034,-0.063,0.0356,-0.05444,0.06104,-0.10706,0.0635,-0.121,-0.1219,-0.1477,-0.1779,-0.1603,-0.1593,-0.1636,-0.1628,-0.1686,-0.164,-0.1681,-0.1658,0.08655,0.0865,0.08655,0.0866,0.1437,0.08655,0.0866,0.1437,0.0935,0.0935,0.11176,0.1118,0.12085
-0.02438,-0.02446,0.03687,-0.02231,0.00635,0.00426,0.02014,0.0337,-0.04517,0.03598,-0.05563,-0.0631,-0.1092,0.06158,0.0644,-0.12274,-0.12085,-0.1766,-0.148,-0.1569,-0.1636,-0.165,-0.1594,-0.1632,-0.1686,-0.1678,-0.1654,0.0866,0.08673,0.08673,0.1437,0.0867,0.08673,0.1437,0.08673,0.0935,0.0935,0.1118,0.1118,0.12085
-0.02565,0.03644,-0.0211,0.006207,0.004566,0.02019,0.03375,-0.0457,-0.02478,0.03738,-0.0634,-0.05637,0.0626,0.0646,-0.1238,-0.1098,-0.12177,-0.1488,-0.1764,-0.1582,-0.1642,-0.1605,-0.1627,-0.1687,-0.1677,-0.165,-0.1631,0.087,0.0868,0.1436,0.0867,0.08685,0.1437,0.0868,0.0871,0.0935,0.09357,0.1118,0.1118,0.12085
0.03726,-0.02142,0.005745,0.003769,0.02016,-0.02676,-0.0455,-0.02365,0.03857,0.03372,-0.0575,-0.06555,0.06476,0.0636,-0.11035,-0.12213,-0.1236,-0.148,-0.1577,-0.1648,-0.1747,-0.1625,-0.1678,-0.1676,-0.162,-0.1637,-0.1652,0.087,0.1436,0.0868,0.0869,0.1437,0.08685,0.087,0.08716,0.09357,0.09357,0.1118,0.1118,0.1208
-0.0225,0.005154,0.00435,0.02036,-0.02657,-0.04675,-0.02432,0.03894,0.03366,0.03845,-0.05722,-0.06555,0.064,-0.11005,0.0652,-0.12317,-0.1211,-0.1481,-0.1648,-0.1733,-0.1566,-0.1667,-0.1671,-0.162,-0.1604,-0.1649,-0.1643,0.1434,0.08704,0.0871,0.1437,0.08685,0.08704,0.08716,0.0872,0.0936,0.0936,0.1119,0.1118,0.1208
0.005116,0.00276,0.02034,-0.02493,-0.04678,-0.02261,-0.02357,0.0313,0.0377,-0.0569,0.03806,-0.06616,-0.1083,0.067,0.0655,-0.1213,-0.12384,-0.1483,-0.1727,-0.1565,-0.1665,-0.1678,-0.1625,-0.1602,-0.1654,-0.1641,-0.164,0.08704,0.0871,0.1434,0.0871,0.08716,0.0872,0.0872,0.1432,0.0936,0.0937,0.1119,0.1119,0.1208
0.003494,0.02052,-0.02626,-0.0456,-0.02335,-0.02385,0.005096,0.0398,-0.0567,0.0315,0.03903,-0.0652,0.06714,0.06586,-0.10846,-0.1254,-0.12335,-0.1484,-0.1564,-0.1727,-0.1685,-0.1683,-0.1593,-0.1653,-0.1635,-0.1644,-0.162,0.08716,0.1434,0.0872,0.0872,0.0872,0.0872,0.1432,0.08746,0.0936,0.0937,0.1119,0.11194,0.1208
0.02222,-0.02704,-0.04648,-0.02473,-0.0256,0.006332,0.004517,-0.0561,0.03137,0.03717,0.03818,-0.066,0.06604,-0.10895,0.0666,-0.1227,-0.1261,-0.148,-0.1732,-0.1556,-0.1686,-0.1597,-0.1658,-0.1633,-0.1644,-0.1619,-0.1677,0.1434,0.0872,0.0873,0.0873,0.0872,0.1432,0.0876,0.0876,0.0937,0.0937,0.1119,0.11194,0.1208
-0.02731,-0.0469,-0.02406,-0.0245,0.00627,0.00484,-0.0563,0.02058,0.03244,0.03775,0.0381,-0.0663,-0.11,0.0661,0.0665,-0.12213,-0.1265,-0.1711,-0.1478,-0.1683,-0.1593,-0.156,-0.164,-0.1637,-0.1621,-0.1682,-0.1652,0.1434,0.0873,0.08734,0.0874,0.1432,0.0874,0.0876,0.08765,0.0937,0.0937,0.11194,0.11194,0.1208
-0.0267,-0.02457,-0.02539,0.006508,0.002832,-0.05594,0.02272,0.03119,0.0369,0.03748,-0.0654,-0.04633,0.0669,-0.1102,0.06824,-0.12103,-0.1245,-0.1475,-0.1711,-0.1593,-0.157,-0.1648,-0.1628,-0.1613,-0.1675,-0.1649,-0.1674,0.1434,0.08746,0.0875,0.1432,0.08746,0.0876,0.08765,0.0877,0.09375,0.09375,0.11194,0.112,0.1207
-0.02487,-0.02446,0.00765,0.003738,-0.05447,0.02159,-0.02632,0.0314,0.03595,0.0372,-0.04553,-0.06683,-0.10895,0.0692,0.06696,-0.12164,-0.1251,-0.172,-0.1462,-0.1559,-0.1588,-0.1644,-0.1611,-0.168,-0.1655,-0.1674,-0.1653,0.1433,0.08765,0.1431,0.0876,0.08765,0.0877,0.08777,0.08777,0.0938,0.0938,0.11194,0.112,0.1207
-0.02556,0.007374,0.004795,-0.05353,0.02254,-0.02748,0.0323,0.0373,-0.02295,-0.04498,-0.0674,0.03934,0.0682,0.0678,-0.1089,-0.125,-0.1225,-0.1459,-0.1577,-0.1582,-0.1718,-0.1604,-0.1678,-0.1644,-0.1675,-0.1655,-0.1654,0.1432,0.143,0.08765,0.0878,0.08777,0.08777,0.0878,0.0878,0.0938,0.0938,0.11194,0.112,0.1207
0.00735,0.005672,-0.053,0.02263,-0.0286,0.03122,0.03653,-0.02411,-0.0457,-0.02567,0.04013,-0.0672,0.0659,-0.10876,0.0691,-0.1217,-0.1259,-0.1577,-0.1458,-0.1731,-0.1572,-0.168,-0.1656,-0.1599,-0.1656,-0.165,-0.1681,0.1432,0.0878,0.0878,0.0879,0.0878,0.0878,0.0879,0.1426,0.0938,0.0939,0.112,0.112,0.1207
0.005737,-0.0524,0.0232,-0.02922,0.007935,0.03082,-0.0238,-0.0444,-0.02693,0.03915,0.037,-0.0684,-0.1097,0.0665,0.06854,-0.12177,-0.1273,-0.1478,-0.1735,-0.1567,-0.1675,-0.165,-0.1603,-0.1578,-0.1652,-0.168,-0.1653,0.1432,0.088,0.0879,0.0879,0.0879,0.0879,0.0879,0.1426,0.0939,0.0939,0.112,0.11206,0.12067
-0.05222,0.02339,-0.02858,0.006916,0.00507,-0.02264,-0.04465,-0.02747,0.03235,0.03644,0.039,-0.0685,0.0674,0.0683,-0.12195,-0.1115,-0.1266,-0.1481,-0.158,-0.1721,-0.166,-0.1609,-0.1583,-0.164,-0.1683,-0.1678,-0.1652,0.1432,0.08795,0.088,0.0881,0.088,0.088,0.1425,0.0883,0.09393,0.09393,0.112,0.11206,0.12067
0.0229,-0.02768,0.005863,0.00494,-0.021,-0.04465,-0.02939,0.03214,0.03616,0.0398,-0.05206,-0.0675,0.0685,-0.1217,0.0676,-0.1276,-0.1123,-0.148,-0.1721,-0.1572,-0.1613,-0.1562,-0.1653,-0.1686,-0.1675,-0.165,-0.1655,0.143,0.08813,0.0881,0.088,0.0881,0.08826,0.1425,0.0884,0.09393,0.09393,0.11206,0.11206,0.12067
-0.02867,0.00471,0.00629,-0.02008,-0.04398,-0.02975,0.0324,0.02399,0.04037,-0.0531,0.0364,-0.0668,0.0678,0.06866,-0.1277,-0.11285,-0.1229,-0.1733,-0.1493,-0.1609,-0.1558,-0.1573,-0.168,-0.167,-0.1655,-0.1659,-0.1641,0.1427,0.08813,0.08813,0.08813,0.0883,0.1423,0.0883,0.08844,0.09393,0.09393,0.11206,0.11206,0.12067
0.005623,0.00785,-0.02148,-0.02867,-0.03072,0.0314,0.02492,-0.04474,-0.0514,0.0382,-0.0671,0.03864,0.068,-0.1278,-0.11475,-0.12335,0.06934,-0.1501,-0.1716,-0.1565,-0.1562,-0.1675,-0.1672,-0.1611,-0.1658,-0.1644,-0.1654,0.1427,0.0881,0.0882,0.0883,0.1423,0.0884,0.08844,0.0885,0.094,0.094,0.11206,0.1121,0.12067
0.00847,-0.02258,-0.02727,-0.03111,0.006916,0.02438,-0.04453,-0.0511,0.03876,0.03043,0.03882,-0.0664,-0.128,-0.1142,-0.123,0.06964,0.0698,-0.1709,-0.1505,-0.1558,-0.1564,-0.1658,-0.1619,-0.1666,-0.1647,-0.1656,-0.1665,0.08813,0.1425,0.0884,0.1423,0.08844,0.0885,0.0885,0.08856,0.094,0.09406,0.11206,0.1121,0.1206
-0.02249,-0.02658,-0.0308,0.00814,0.02315,-0.04413,0.00882,0.0382,0.03123,0.03894,-0.0522,-0.06494,-0.1148,-0.12164,0.0703,0.0695,-0.1279,-0.151,-0.1559,-0.1547,-0.1663,-0.1624,-0.1731,-0.1644,-0.1648,-0.1664,-0.1654,0.0883,0.08844,0.1422,0.08844,0.0885,0.1421,0.0886,0.0886,0.094,0.09406,0.11206,0.1121,0.1206
-0.02736,-0.02985,0.007397,0.02225,-0.0437,0.0106,0.03717,0.03043,-0.0231,-0.05072,-0.0644,0.03812,-0.1139,0.07056,0.06934,-0.12274,-0.1284,-0.1553,-0.1539,-0.1661,-0.1533,-0.171,-0.1647,-0.164,-0.1663,-0.1624,-0.165,0.0883,0.1422,0.08856,0.08856,0.1421,0.0887,0.0887,0.08875,0.094,0.0941,0.1121,0.1121,0.1206
-0.02887,0.00913,0.0213,-0.04187,0.010376,-0.02805,0.0315,-0.02206,-0.04962,-0.0646,0.0391,0.03705,-0.11304,0.0703,-0.123,0.07104,-0.1289,-0.153,-0.165,-0.1536,-0.1718,-0.1566,-0.1637,-0.1675,-0.1624,-0.1654,-0.1654,0.0884,0.0886,0.1421,0.1421,0.0887,0.0887,0.0888,0.0888,0.094,0.0942,0.1121,0.1121,0.12054
0.00747,0.02222,-0.04117,0.00948,-0.0277,0.03079,-0.02223,-0.05002,-0.0286,0.04037,0.03818,-0.0645,0.0697,-0.123,0.0727,-0.114,-0.1283,-0.1641,-0.154,-0.1708,-0.1547,-0.1625,-0.1582,-0.1621,-0.1652,-0.1654,-0.1677,0.0886,0.0886,0.142,0.0887,0.08875,0.08887,0.0888,0.1418,0.094,0.0942,0.1121,0.1122,0.12054
0.0228,-0.041,0.01083,-0.02802,0.03065,-0.0216,-0.04953,0.00933,0.04047,-0.02809,-0.0657,0.03674,0.07025,-0.12225,-0.1132,-0.1274,0.0742,-0.1555,-0.1716,-0.1539,-0.1603,-0.1562,-0.1611,-0.1658,-0.1661,-0.1678,-0.1638,0.0886,0.0889,0.0887,0.0888,0.0889,0.08887,0.1418,0.1417,0.09406,0.0942,0.1122,0.11224,0.12054
-0.04236,0.01076,-0.02744,0.0308,-0.0232,-0.04922,0.0086,0.02208,-0.02747,0.0394,0.03604,-0.0654,0.0709,-0.1141,-0.1274,0.0749,-0.1231,-0.1726,-0.1536,-0.159,-0.1567,-0.1544,-0.1667,-0.1656,-0.1613,-0.1641,-0.167,0.0886,0.0887,0.0889,0.089,0.089,0.1418,0.1417,0.0891,0.09406,0.0942,0.1122,0.11224,0.12054
0.01214,-0.02777,0.02896,-0.02396,-0.04922,0.00959,0.02167,-0.02657,-0.0431,0.03485,0.04175,-0.06525,-0.1143,0.0705,-0.1277,-0.12274,0.076,-0.1526,-0.1606,-0.1561,-0.1533,-0.173,-0.1658,-0.1622,-0.1641,-0.1666,-0.1671,0.08887,0.08905,0.089,0.089,0.1418,0.0891,0.0891,0.1416,0.0941,0.09424,0.1122,0.1123,0.12054
-0.02872,0.02873,-0.02545,-0.04907,0.010086,0.02194,-0.02649,0.01207,0.03537,0.0415,-0.04507,-0.0652,0.0702,-0.1158,-0.12195,-0.1296,-0.1539,0.077,-0.1562,-0.1547,-0.1729,-0.166,-0.1614,-0.1649,-0.167,-0.1669,-0.1627,0.08905,0.0891,0.0891,0.1417,0.0892,0.0892,0.0892,0.1416,0.0941,0.09424,0.11224,0.1123,0.12054
0.02756,-0.0247,-0.02762,0.00958,0.02243,-0.02515,0.01141,0.0358,0.04202,-0.0458,-0.06683,-0.04938,-0.1145,-0.1219,0.06866,-0.1272,0.0772,-0.1547,-0.1544,-0.1731,-0.1553,-0.1617,-0.1658,-0.1666,-0.1671,-0.1626,-0.166,0.0893,0.0891,0.1415,0.08923,0.08923,0.0892,0.1416,0.0894,0.0942,0.0943,0.1123,0.1123,0.12054
-0.0261,-0.0289,0.011246,0.02124,-0.02502,0.012436,0.03506,0.04184,-0.04703,-0.06885,-0.0486,0.02922,-0.12244,0.06836,-0.11414,-0.1282,-0.154,-0.1543,-0.1735,0.07745,-0.1543,-0.1658,-0.1665,-0.167,-0.1613,-0.1665,-0.163,0.08936,0.08936,0.08936,0.08923,0.0893,0.1416,0.0894,0.1414,0.09424,0.0943,0.1123,0.1123,0.12054
-0.02802,0.00999,0.02055,-0.02486,0.012825,-0.02483,0.04172,-0.04752,0.0359,-0.04715,0.03073,-0.06866,0.06915,-0.1149,-0.12274,-0.1279,-0.1554,-0.154,0.07874,-0.1544,-0.1729,-0.1647,-0.1663,-0.1621,-0.1667,-0.1631,-0.1659,0.0895,0.08954,0.08923,0.08936,0.1415,0.0895,0.1414,0.0898,0.09424,0.09436,0.1123,0.1123,0.12054
0.01097,0.01932,-0.02437,0.01212,-0.02348,0.04034,-0.02911,0.0364,-0.0469,0.03091,-0.04758,-0.0694,-0.1153,0.06824,-0.1279,-0.1225,-0.1548,-0.1548,-0.1531,-0.1731,-0.166,-0.1661,-0.1616,-0.1661,-0.1636,-0.1664,0.079,0.0895,0.0896,0.08936,0.1412,0.08954,0.1414,0.08966,0.08984,0.09424,0.09436,0.1123,0.11237,0.12054
0.01817,-0.02228,0.01246,-0.0238,0.0392,0.012764,0.03656,-0.0464,0.03098,-0.04742,-0.06976,-0.02983,0.06836,-0.11566,-0.1233,-0.1276,-0.1558,-0.1536,-0.1737,-0.1562,-0.165,-0.1619,-0.1653,-0.1633,-0.1672,-0.1658,0.0794,0.0895,0.08936,0.0896,0.0896,0.1414,0.0897,0.08997,0.141,0.0943,0.09436,0.11237,0.11237,0.12054
-0.02199,0.011116,-0.02585,0.03824,0.01315,0.03644,-0.0453,0.02992,0.02017,-0.04855,-0.02971,-0.06946,-0.1167,0.06964,-0.12335,-0.1274,-0.1548,-0.1747,-0.1565,-0.1637,-0.1624,-0.1647,-0.1567,-0.1674,-0.1653,-0.1647,0.0797,0.0897,0.0897,0.08966,0.1412,0.08984,0.08984,0.141,0.09,0.09436,0.09436,0.11237,0.11237,0.1205
0.00981,-0.02531,0.04016,0.01288,0.03552,-0.04584,-0.02197,0.0201,-0.04843,-0.02945,0.0311,-0.06866,-0.1159,-0.1256,0.07056,-0.1265,-0.154,-0.1567,-0.1743,-0.161,-0.1627,-0.1583,-0.167,-0.1659,-0.1654,-0.1656,0.07983,0.0897,0.0897,0.1411,0.09,0.0899,0.1409,0.0901,0.09015,0.09436,0.0944,0.11237,0.1124,0.1205
-0.02534,0.0407,0.012886,0.03735,-0.0458,-0.02226,0.00915,-0.04993,-0.02994,0.02074,-0.069,0.03125,-0.1246,0.0722,-0.1174,-0.1519,-0.127,-0.1763,-0.1593,-0.1555,-0.1592,-0.1664,-0.1663,-0.166,-0.1658,-0.1625,0.07983,0.08984,0.141,0.08997,0.08997,0.1407,0.0901,0.0902,0.0902,0.0944,0.0944,0.1124,0.1124,0.1205
0.0397,0.01271,0.03607,-0.0461,-0.02171,0.0095,-0.02522,-0.02844,0.02007,-0.0502,0.03174,-0.0702,0.0713,-0.1178,-0.1266,-0.1273,-0.176,-0.1532,-0.1555,-0.1603,-0.1658,-0.1672,-0.1661,-0.1659,-0.1619,-0.1625,0.07983,0.1409,0.0902,0.09,0.1407,0.09015,0.0903,0.0903,0.0903,0.0945,0.0945,0.1124,0.1124,0.1204
0.012634,0.0367,-0.0458,-0.02074,0.01102,-0.02486,-0.02873,0.01837,-0.04962,0.032,-0.06964,0.0405,-0.1168,-0.1251,-0.126,0.07153,-0.1532,-0.1565,-0.1782,-0.1654,-0.168,-0.1599,-0.1653,-0.162,-0.1628,-0.166,0.0801,0.1407,0.09,0.1406,0.09033,0.09033,0.09033,0.0903,0.0905,0.0945,0.0945,0.1124,0.1124,0.1204
0.01357,-0.04495,-0.02048,0.01023,-0.02385,-0.02911,0.01765,-0.04935,0.03026,0.0369,0.0406,-0.072,-0.11633,-0.1273,-0.12427,0.0731,-0.1569,-0.1785,-0.1537,-0.1676,-0.16,-0.1647,-0.1621,-0.1616,-0.1658,-0.1658,0.08026,0.09,0.1407,0.0904,0.0904,0.0904,0.09033,0.0906,0.1405,0.0945,0.0945,0.1124,0.1124,0.1204
-0.0452,-0.02222,0.0111,-0.02562,-0.02931,0.01569,0.0138,0.02924,0.03738,0.04007,-0.04956,-0.0725,-0.1271,-0.11707,0.0728,-0.1572,-0.12494,-0.1533,-0.166,-0.1603,-0.1776,-0.1627,-0.1614,-0.1656,-0.1654,-0.164,0.0807,0.0902,0.1406,0.0904,0.0904,0.0904,0.0905,0.1405,0.0907,0.09454,0.09454,0.1124,0.1124,0.1204
-0.02216,0.011154,-0.0257,-0.03032,0.01479,0.013565,0.02924,0.03702,-0.04605,-0.04892,-0.073,0.03958,-0.1178,0.0729,-0.1284,-0.1262,-0.1527,-0.1567,-0.1587,-0.1771,-0.1632,-0.163,-0.167,-0.166,-0.1636,-0.166,0.0808,0.09045,0.09045,0.09045,0.09045,0.0906,0.1403,0.09076,0.1403,0.09454,0.09454,0.1124,0.1125,0.1204
