x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0.2695,-0.02954,0.010216,0.1162,-0.0121,0.2009,0.1236,0.1307,-0.0975,-0.04453,-0.02814,-0.06134,0.198,-0.09393,-0.0908,0.1031,0.08624,0.1054,0.1201,0.11145,0.117,0.1207,0.1167,0.11945,0.1209,0.1183,0.1173,0.11487,0.1167,0.1133,0.11847,0.1174,0.1162,0.11615,0.1161,0.1167,0.1161,0.11755,0.1167,0.11664
-0.03552,-0.0009575,0.1123,0.272,0.2236,-0.00375,0.1395,-0.0848,-0.05557,-0.0342,-0.0566,0.1917,-0.0864,-0.10254,0.10864,0.07965,0.10895,0.1149,0.131,0.11316,0.12036,0.1213,0.115,0.119,0.1192,0.1164,0.1173,0.11694,0.1145,0.11884,0.118,0.11584,0.117,0.1169,0.117,0.11633,0.1175,0.1168,0.1167,0.11664
-0.0126,0.1077,0.29,0.2153,0.00995,-0.01978,-0.10443,-0.0697,-0.03833,-0.05527,0.1719,-0.08746,-0.1033,0.1572,0.0913,0.10046,0.1197,0.1245,0.118,0.1208,0.1207,0.1171,0.11945,0.1151,0.1187,0.11554,0.11566,0.1143,0.11725,0.11676,0.11597,0.11755,0.1163,0.11664,0.1161,0.11664,0.1167,0.11694,0.1166,0.11676
0.11346,0.2966,0.2234,0.012985,-0.03607,-0.01074,-0.0825,-0.03375,-0.04596,0.169,-0.0825,-0.1051,-0.1041,0.0996,0.10315,0.1575,0.12177,0.12103,0.11914,0.1242,0.1163,0.1172,0.1167,0.1191,0.1153,0.1156,0.1143,0.11646,0.11676,0.11804,0.1173,0.1177,0.1168,0.11633,0.1164,0.11676,0.11664,0.1164,0.11676,0.1164
0.296,0.2256,-8.19e-5,-0.0431,0.001044,-0.0669,-0.03937,-0.04837,0.1672,-0.0844,-0.11304,-0.1074,0.1113,0.1064,0.1604,0.12164,0.1063,0.112,0.11444,0.1254,0.1172,0.11456,0.11584,0.1153,0.1187,0.1151,0.11646,0.11664,0.11816,0.1169,0.11633,0.1156,0.11707,0.11646,0.1167,0.1173,0.11633,0.1164,0.1165,0.1165
0.2925,0.006958,-0.04324,0.010635,-0.05032,-0.04053,-0.06204,0.2245,-0.08624,-0.1225,-0.11224,0.1548,0.11426,0.1516,0.11176,0.1252,0.1123,0.1149,0.11597,0.10913,0.12,0.11755,0.11444,0.116,0.11725,0.1141,0.1172,0.11847,0.11755,0.1159,0.11615,0.1163,0.1162,0.11646,0.1171,0.1165,0.1166,0.11664,0.1166,0.11676
-0.006596,-0.0378,-0.002419,0.2864,-0.04004,-0.0572,0.2397,-0.09924,-0.1373,-0.10846,0.1453,-0.05695,0.1367,0.11145,0.1288,0.1119,0.11115,0.11505,0.10913,0.12,0.1163,0.1144,0.1255,0.1155,0.1141,0.11774,0.11786,0.1171,0.1159,0.11554,0.1168,0.11633,0.1167,0.1176,0.1164,0.116,0.11646,0.11646,0.1168,0.11664
-0.0347,-0.01707,0.293,-0.03958,-0.0398,0.2367,-0.1016,0.003956,-0.1066,0.1544,-0.06235,-0.1453,0.1229,0.116,0.1388,0.1114,0.11255,0.1176,0.121,0.1163,0.1144,0.1176,0.12,0.11957,0.11993,0.11707,0.1184,0.1183,0.1173,0.1158,0.1169,0.1173,0.1178,0.1162,0.11615,0.11676,0.11615,0.11664,0.1165,0.1169
-0.00948,0.2961,-0.0414,-0.05408,0.2246,-0.09863,0.010345,-0.02592,0.1552,-0.06793,-0.1473,-0.1265,0.1321,0.147,0.1189,0.10864,0.109,0.1167,0.1225,0.117,0.1178,0.1203,0.115,0.1171,0.11487,0.11615,0.1162,0.11804,0.1174,0.1169,0.11755,0.11664,0.1164,0.11597,0.11743,0.1164,0.11664,0.1159,0.117,0.1167
0.3037,-0.0281,-0.0624,0.2424,-0.107,0.008835,-0.0232,-0.02628,-0.0703,-0.1499,-0.1255,0.1488,0.1421,0.1595,0.1146,0.11115,0.12274,0.1127,0.1196,0.12115,0.1158,0.11505,0.1168,0.11523,0.11865,0.113,0.11743,0.11676,0.116,0.11694,0.11597,0.1161,0.1159,0.1173,0.11615,0.11694,0.1162,0.11694,0.11664,0.11664
-0.03394,-0.0739,0.251,-0.11316,0.3142,-0.01555,-0.03546,-0.0527,-0.1611,0.001453,-0.1214,0.1498,0.1644,0.1598,0.11346,0.11554,0.1295,0.12256,0.1163,0.11676,0.1151,0.1163,0.1177,0.1166,0.11316,0.1142,0.11597,0.1184,0.1173,0.11804,0.11743,0.1169,0.1173,0.11633,0.1162,0.11615,0.1171,0.1167,0.1168,0.1167
-0.0709,0.2494,-0.1143,0.312,-0.01959,-0.05563,-0.06186,-0.1498,-0.01236,-0.11584,-0.04205,0.1704,0.1503,0.1519,0.1296,0.12225,0.1273,0.1163,0.11896,0.1131,0.1177,0.1156,0.1166,0.11755,0.1152,0.11523,0.1159,0.117,0.1175,0.1175,0.116,0.1165,0.1171,0.1159,0.1177,0.11676,0.1166,0.1166,0.1165,0.1169
0.246,-0.11127,0.3147,-0.03056,-0.07434,-0.05377,-0.1293,-0.035,-0.06604,-0.04987,0.1764,0.151,0.1616,-0.12213,0.1323,0.12445,0.10944,0.1192,0.11816,0.1204,0.1156,0.1135,0.11755,0.1154,0.1185,0.1177,0.1162,0.11694,0.1179,0.1169,0.1168,0.1177,0.1163,0.11786,0.117,0.11694,0.11664,0.1162,0.11694,0.1171
-0.1353,0.3115,-0.01736,-0.0924,-0.0629,-0.1493,-0.02525,0.2262,-0.04404,-0.0673,0.1462,0.1571,-0.10895,0.135,0.1677,0.129,0.1152,0.1188,0.1097,0.11786,0.11865,0.1172,0.11273,0.1192,0.11896,0.1146,0.11694,0.1167,0.11816,0.1168,0.11725,0.1158,0.1179,0.1167,0.11676,0.1167,0.1163,0.11694,0.11694,0.11664
0.3027,-0.01098,-0.085,-0.0655,-0.159,-0.03552,0.203,-0.04105,-0.0659,-0.1221,0.1539,-0.10547,0.1508,0.1624,0.13,0.1102,0.1205,0.10913,0.10425,0.1276,0.1177,0.11786,0.12006,0.1145,0.1178,0.1201,0.11676,0.11584,0.1182,0.11615,0.1167,0.1179,0.11694,0.1166,0.11694,0.11676,0.11664,0.11725,0.1166,0.11676
0.31,-0.0898,-0.05835,-0.02547,-0.0317,0.1986,-0.03867,-0.0557,-0.1748,-0.1351,-0.1111,0.1488,0.171,0.1531,0.1141,0.1185,0.1047,0.1318,0.12305,0.1102,0.11786,0.11725,0.11664,0.11993,0.1157,0.1137,0.1169,0.1191,0.11426,0.11774,0.1165,0.1163,0.1165,0.11664,0.11707,0.11664,0.117,0.11676,0.117,0.11664
-0.0849,-0.04376,-0.00856,-0.04828,0.207,-0.03555,0.3062,-0.04965,-0.1434,-0.1167,-0.1705,0.165,0.1467,0.1465,0.12213,0.114,0.1318,0.12305,0.11554,0.1152,0.1182,0.11664,0.11993,0.11865,0.1135,0.1189,0.11884,0.1158,0.1161,0.11676,0.1158,0.11707,0.11725,0.1167,0.1168,0.117,0.11676,0.11707,0.1168,0.1169
-0.04626,-0.01666,-0.0347,0.1914,-0.03293,0.2935,-0.02768,-0.1348,-0.1011,-0.1792,0.1561,-0.0924,0.1373,0.1145,0.1335,0.1285,0.12396,0.11786,0.11743,0.11993,0.1172,0.1212,0.11865,0.1164,0.11566,0.11597,0.1142,0.11615,0.1165,0.1154,0.1164,0.1183,0.1172,0.1163,0.1167,0.1176,0.1169,0.11646,0.11676,0.1165
-0.01642,-0.0325,0.1901,-0.0279,0.2917,-0.03973,-0.11865,-0.1016,-0.176,-0.04825,-0.09155,0.123,0.152,0.1115,0.121,0.11615,0.1137,0.11554,0.1159,0.12103,0.117,0.1177,0.12,0.12054,0.116,0.11554,0.11615,0.11774,0.1158,0.1173,0.1183,0.11707,0.1162,0.1165,0.1171,0.1167,0.1164,0.1165,0.1167,0.1166
-0.03058,0.1935,-0.02754,0.2808,-0.03134,-0.1322,-0.1247,-0.1722,-0.04236,-0.007797,0.1316,-0.1036,0.12335,0.1444,0.1165,0.1088,0.1202,0.1087,0.12115,0.11835,0.1234,0.12244,0.1165,0.1149,0.11804,0.11615,0.1174,0.117,0.11664,0.1173,0.1159,0.11597,0.1168,0.11694,0.1155,0.1167,0.1163,0.1168,0.11707,0.11664
-0.0395,-0.03665,0.2622,-0.03772,-0.12335,-0.1033,-0.1693,-0.03574,-0.00489,0.1982,-0.1034,0.12366,0.1455,0.154,0.11835,0.1226,0.1122,0.1203,0.1115,0.1251,0.12213,0.1136,0.1192,0.11804,0.11725,0.11975,0.1163,0.1169,0.1159,0.11914,0.11676,0.11694,0.1169,0.11584,0.1167,0.11615,0.1169,0.11615,0.11676,0.117
-0.03278,0.2534,-0.04095,-0.12164,-0.0888,-0.1753,-0.03552,-0.01163,0.2048,-0.04007,-0.0994,0.1489,0.1539,0.1324,0.1152,0.10736,0.1122,0.1268,0.1158,0.11285,0.1136,0.1194,0.123,0.11456,0.1183,0.1163,0.1175,0.1161,0.1191,0.1152,0.11707,0.117,0.11633,0.1168,0.1165,0.1166,0.1162,0.11676,0.11694,0.1165
0.2622,-0.0468,-0.1342,-0.04062,-0.1694,-0.03696,0.00322,0.2,-0.0501,-0.0907,0.1455,-0.10205,0.1487,0.1365,0.10974,0.1034,0.1268,0.1201,0.116,0.11127,0.1219,0.1164,0.11694,0.11285,0.1215,0.11865,0.1176,0.118,0.11566,0.1183,0.1169,0.1158,0.11676,0.1169,0.1164,0.11633,0.1166,0.11694,0.1163,0.11676
-0.03943,-0.1377,-0.05185,-0.1849,-0.02618,-0.004448,0.276,-0.05728,-0.0908,0.2125,-0.08716,0.1477,0.1434,0.10474,0.10425,0.1401,0.1321,0.11017,0.1138,0.1201,0.12274,0.11957,0.1187,0.1187,0.1155,0.116,0.1169,0.1163,0.1174,0.1176,0.1162,0.1178,0.11584,0.11633,0.1164,0.1166,0.11694,0.1161,0.1165,0.1169
-0.1586,-0.04236,-0.177,-0.0361,-0.007267,0.2957,-0.0694,-0.10095,0.2284,-0.04376,0.1442,-0.0875,0.1396,0.1139,0.1257,0.1271,0.1177,0.1211,0.10876,0.1195,0.1167,0.1159,0.1163,0.1155,0.1194,0.1172,0.11847,0.1161,0.1188,0.11707,0.1174,0.1167,0.11584,0.11633,0.1165,0.11694,0.116,0.11676,0.1168,0.1167
-0.04205,-0.1857,-0.02988,0.00832,0.2869,-0.0561,-0.1031,0.2352,-0.038,-0.1505,-0.0906,0.1593,0.1154,0.1259,0.1292,0.1114,0.1334,0.10876,0.1107,0.1155,0.11975,0.1187,0.1135,0.11804,0.11926,0.1149,0.1161,0.11664,0.11755,0.1157,0.1169,0.11584,0.1167,0.11725,0.11694,0.11664,0.1168,0.1168,0.1167,0.1164
-0.1943,-0.01889,0.01462,0.2773,-0.0668,-0.10425,0.2212,-0.04715,-0.1385,-0.04813,0.1735,-0.1072,0.1193,0.126,0.1267,0.1182,0.1113,0.1089,0.11505,0.1229,0.1185,0.113,0.1176,0.1166,0.1148,0.1171,0.11664,0.1184,0.1164,0.11786,0.1168,0.11725,0.11725,0.1165,0.11725,0.1161,0.11694,0.1167,0.1165,0.1166
-0.004776,0.0195,0.2861,-0.06555,-0.0935,0.2141,-0.0515,-0.1339,-0.065,-0.1912,-0.1142,0.1786,0.1266,0.11676,0.12415,0.1099,0.1215,0.1031,0.1198,0.12396,0.113,0.1176,0.119,0.121,0.1186,0.12054,0.1177,0.1152,0.11664,0.1159,0.116,0.1169,0.1167,0.1177,0.11633,0.1163,0.1166,0.1169,0.1167,0.11664
0.01628,0.2925,-0.0832,-0.1064,0.2269,-0.0452,-0.1333,-0.01903,-0.1874,-0.11975,0.1847,-0.07416,0.1255,0.11615,0.11316,0.1333,0.1112,0.1183,0.1156,0.10803,0.1155,0.11163,0.12225,0.115,0.12054,0.1171,0.11774,0.1169,0.11707,0.11615,0.1167,0.11646,0.118,0.1165,0.11664,0.1166,0.1167,0.1164,0.1166,0.11676
0.2886,-0.0947,-0.099,0.2352,-0.04572,-0.1351,-0.03134,-0.167,0.02782,0.1844,-0.0825,-0.1293,0.122,0.1322,0.1278,0.11993,0.11786,0.10986,0.1104,0.1159,0.1142,0.11444,0.1173,0.11487,0.1165,0.11725,0.1175,0.11646,0.1169,0.1171,0.1164,0.1157,0.1168,0.1172,0.11646,0.1164,0.11664,0.1166,0.1167,0.1168
-0.1091,-0.0852,0.2351,-0.04257,0.285,-0.03906,-0.178,0.02965,0.1989,-0.0846,-0.1368,0.1268,-0.1362,0.1276,0.1195,0.133,0.1157,0.1095,0.115,0.11475,0.11206,0.1173,0.11487,0.1147,0.1152,0.1182,0.11633,0.11664,0.11707,0.11615,0.1183,0.1161,0.1165,0.116,0.1167,0.11676,0.11676,0.11633,0.1168,0.1169
-0.069,0.2524,-0.05652,0.2688,-0.0356,-0.1718,0.02538,0.1808,-0.0812,-0.1444,-0.1289,-0.1332,0.1324,0.1266,0.1317,0.1183,0.10535,0.1155,0.1166,0.1072,0.12054,0.11786,0.12134,0.1165,0.12054,0.1158,0.11566,0.11597,0.1157,0.11725,0.11584,0.1157,0.1164,0.11633,0.1169,0.1166,0.1166,0.1168,0.11664,0.1167
