B40,ex
0.6826,0.922
0.6826,0.973
0.6826,0.953
0.6826,0.932
0.6826,0.914
0.6826,0.901
0.6826,0.847
0.6826,0.839
0.6826,0.824
0.6826,0.786
0.6826,0.826
0.6826,0.857
0.6826,0.868
0.6826,0.866
0.6826,0.89
0.6826,0.877
0.6826,0.903
0.6826,0.901
0.673,0.904
0.6206,0.908
0.5625,0.896
0.4983,0.878
0.4727,0.883
0.495,0.905
0.5283,0.874
0.546,0.891
0.56,0.905
0.6006,0.88
0.616,0.904
0.635,0.892
0.6475,0.891
0.6826,0.897
0.6826,0.892
0.6826,0.904
0.6826,0.892
0.6826,0.89
0.6826,0.908
0.6826,0.902
0.6826,0.891
0.6826,0.0
